indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Active travel to work,Scotland,S00000001,Scotland,2007,2007/2008 survey years,NA,14.2,13.4,15,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2007,2007/2008 survey years,NA,9.2,6.9,11.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2007,2007/2008 survey years,NA,16.8,10.9,22.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2007,2007/2008 survey years,NA,16.3,12,20.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Fife,S08000029,Health board,2007,2007/2008 survey years,NA,9.6,7.2,12,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Forth Valley,S08000019,Health board,2007,2007/2008 survey years,NA,10.5,7.9,13.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Grampian,S08000020,Health board,2007,2007/2008 survey years,NA,15.8,13.6,18,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Greater Glasgow & Clyde,S08000031,Health board,2007,2007/2008 survey years,NA,13,11.4,14.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Highland,S08000022,Health board,2007,2007/2008 survey years,NA,20.8,17.5,24.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lanarkshire,S08000032,Health board,2007,2007/2008 survey years,NA,7.7,5.9,9.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lothian,S08000024,Health board,2007,2007/2008 survey years,NA,19.6,17.4,21.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Orkney,S08000025,Health board,2007,2007/2008 survey years,NA,21.8,15.6,28,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Shetland,S08000026,Health board,2007,2007/2008 survey years,NA,10.7,6,15.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Tayside,S08000030,Health board,2007,2007/2008 survey years,NA,18,14.8,21.1,Percentage,Scottish Household Survey (SHS)
